0,1,2,3,4,5,6,7,8,9,10
frozen meals,onions,frozen vegetables,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
turkey,whole milk,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
decalcifier,root vegetables,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
rolls/buns,sausage,tropical fruit,soda,yogurt,onions,flour,specialty chocolate,whipped/sour cream,,
coffee,other vegetables,candy,whole milk,,,,,,,
soda,onions,pastry,,,,,,,,
coffee,yogurt,oil,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
whole milk,salty snack,margarine,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,margarine,,,,,,,,,
packaged fruit/vegetables,white wine,,,,,,,,,
napkins,yogurt,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
bottled water,waffles,white bread,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
shopping bags,white wine,,,,,,,,,
citrus fruit,rolls/buns,whole milk,brown bread,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
butter,dish cleaner,,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
soda,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
root vegetables,sausage,hamburger meat,rum,house keeping products,,,,,,
pip fruit,bottled beer,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
soda,curd,,,,,,,,,
soda,pastry,rolls/buns,,,,,,,,
tropical fruit,curd,,,,,,,,,
soda,hard cheese,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
onions,rolls/buns,,,,,,,,,
liquor,rolls/buns,cream cheese ,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
photo/film,whole milk,shopping bags,,,,,,,,
sausage,beverages,,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
pork,pip fruit,chocolate,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
tropical fruit,other vegetables,hygiene articles,,,,,,,,
pastry,semi-finished bread,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
meat,herbs,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
tropical fruit,soda,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,instant coffee,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
dishes,chewing gum,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
white wine,cream cheese ,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
liquor,cream,coffee,,,,,,,,
root vegetables,ice cream,rolls/buns,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
other vegetables,seasonal products,bottled water,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
yogurt,pet care,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
root vegetables,pastry,,,,,,,,,
coffee,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
domestic eggs,whole milk,brown bread,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
canned fish,cocoa drinks,,,,,,,,,
chocolate,soda,,,,,,,,,
fruit/vegetable juice,chocolate,cat food,coffee,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
sausage,napkins,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
root vegetables,whipped/sour cream,rolls/buns,rolls/buns,,,,,,,
soda,napkins,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
liquor,margarine,,,,,,,,,
canned beer,canned beer,,,,,,,,,
dessert,bottled beer,,,,,,,,,
beef,misc. beverages,beef,salty snack,,,,,,,
curd,brown bread,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
bottled water,margarine,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
canned vegetables,popcorn,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
whipped/sour cream,whole milk,oil,,,,,,,,
cream cheese ,soda,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
whole milk,pastry,napkins,,,,,,,,
sausage,curd cheese,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
beef,chocolate,pastry,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
canned beer,other vegetables,,,,,,,,,
meat,yogurt,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
meat,root vegetables,sliced cheese,,,,,,,,
chicken,bottled water,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
beef,grapes,,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
soda,candy,,,,,,,,,
butter milk,flour,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
cereals,sausage,tropical fruit,other vegetables,,,,,,,
canned fish,curd,,,,,,,,,
sausage,bottled water,napkins,,,,,,,,
frozen chicken,white wine,,,,,,,,,
root vegetables,liquor,,,,,,,,,
whole milk,candles,,,,,,,,,
root vegetables,dessert,,,,,,,,,
berries,sugar,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
bottled water,whole milk,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,white wine,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
bottled water,soda,soda,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
chicken,whisky,,,,,,,,,
sausage,coffee,,,,,,,,,
sausage,bottled beer,,,,,,,,,
sausage,sausage,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
chicken,yogurt,,,,,,,,,
dessert,whole milk,,,,,,,,,
specialty bar,whole milk,cling film/bags,,,,,,,,
newspapers,salty snack,,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
candy,domestic eggs,,,,,,,,,
frankfurter,soda,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
pip fruit,onions,,,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
whole milk,white bread,,,,,,,,,
pip fruit,pastry,,,,,,,,,
pork,herbs,,,,,,,,,
tropical fruit,other vegetables,domestic eggs,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
pork,dessert,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
hamburger meat,curd,,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
bottled beer,canned beer,dish cleaner,,,,,,,,
canned beer,hygiene articles,pork,soft cheese,bottled beer,rolls/buns,chocolate marshmallow,,,,
coffee,rolls/buns,soda,,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
white bread,newspapers,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
pastry,chewing gum,,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
sausage,rolls/buns,UHT-milk,onions,,,,,,,
domestic eggs,waffles,,,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
brown bread,pot plants,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
coffee,frozen vegetables,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
dishes,rolls/buns,,,,,,,,,
mustard,zwieback,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
pastry,napkins,pastry,,,,,,,,
bottled beer,berries,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,pastry,,,,,,,,,
sausage,other vegetables,mayonnaise,seasonal products,,,,,,,
canned beer,beef,,,,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
pot plants,pickled vegetables,house keeping products,,,,,,,,
brown bread,curd,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
cream cheese ,other vegetables,,,,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
pork,cake bar,,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
root vegetables,roll products ,root vegetables,whole milk,,,,,,,
brown bread,pasta,,,,,,,,,
citrus fruit,rolls/buns,brandy,candy,,,,,,,
coffee,napkins,,,,,,,,,
beef,specialty bar,white bread,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
root vegetables,sugar,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
beef,waffles,,,,,,,,,
beef,flour,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
tropical fruit,other vegetables,fruit/vegetable juice,,,,,,,,
soda,pet care,butter,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
citrus fruit,pastry,candy,softener,,,,,,,
yogurt,newspapers,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
sausage,roll products ,,,,,,,,,
root vegetables,coffee,sliced cheese,newspapers,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
popcorn,flour,,,,,,,,,
whole milk,grapes,,,,,,,,,
tropical fruit,soda,,,,,,,,,
salty snack,coffee,,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
butter,dessert,,,,,,,,,
sausage,chicken,bottled beer,whole milk,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
whole milk,brown bread,,,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
berries,frozen meals,shopping bags,,,,,,,,
soda,specialty bar,tidbits,,,,,,,,
white wine,ice cream,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
red/blush wine,bottled beer,,,,,,,,,
tropical fruit,pot plants,shopping bags,sugar,,,,,,,
bottled water,beverages,,,,,,,,,
beef,coffee,,,,,,,,,
coffee,yogurt,,,,,,,,,
coffee,oil,newspapers,,,,,,,,
ice cream,root vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,butter,,,,,,,,,
meat,whole milk,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
ice cream,rolls/buns,butter milk,,,,,,,,
sausage,sausage,frankfurter,sausage,whole milk,other vegetables,hygiene articles,shopping bags,shopping bags,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
sausage,whole milk,,,,,,,,,
mustard,whole milk,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
root vegetables,white bread,,,,,,,,,
chicken,soda,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
sausage,cream cheese ,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
beef,bottled water,soda,,,,,,,,
pastry,candles,,,,,,,,,
sausage,newspapers,,,,,,,,,
whole milk,ice cream,,,,,,,,,
canned beer,ice cream,,,,,,,,,
yogurt,whole milk,,,,,,,,,
ice cream,yogurt,oil,,,,,,,,
pastry,detergent,,,,,,,,,
sausage,brown bread,,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
soups,specialty bar,soda,whipped/sour cream,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
sausage,whole milk,tropical fruit,light bulbs,yogurt,rolls/buns,liquor (appetizer),,,,
dessert,napkins,,,,,,,,,
ham,rolls/buns,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
sliced cheese,margarine,,,,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
citrus fruit,whole milk,,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
domestic eggs,hamburger meat,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,coffee,yogurt,white wine,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
bottled water,processed cheese,,,,,,,,,
citrus fruit,newspapers,candy,,,,,,,,
dishes,brown bread,,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
citrus fruit,napkins,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
rolls/buns,chocolate,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
berries,other vegetables,,,,,,,,,
tropical fruit,soups,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
whole milk,brown bread,,,,,,,,,
canned fruit,detergent,,,,,,,,,
pork,flour,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
soda,shopping bags,,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
seasonal products,rolls/buns,,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
sausage,pastry,,,,,,,,,
whole milk,soda,mayonnaise,,,,,,,,
bottled beer,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
meat,whole milk,,,,,,,,,
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
other vegetables,sugar,,,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,soda,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
other vegetables,tidbits,dental care,,,,,,,,
ham,whole milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
chewing gum,curd,yogurt,,,,,,,,
whole milk,butter,soda,fruit/vegetable juice,,,,,,,
chewing gum,pot plants,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
soda,napkins,,,,,,,,,
chocolate,dessert,,,,,,,,,
brown bread,liquor,,,,,,,,,
shopping bags,root vegetables,,,,,,,,,
specialty chocolate,frozen potato products,,,,,,,,,
shopping bags,curd,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
soda,dishes,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
white bread,frozen vegetables,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
misc. beverages,other vegetables,rolls/buns,brown bread,,,,,,,
root vegetables,napkins,,,,,,,,,
yogurt,whole milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
dog food,pastry,,,,,,,,,
brown bread,brown bread,,,,,,,,,
domestic eggs,sugar,Instant food products,,,,,,,,
bottled beer,ice cream,,,,,,,,,
bottled water,canned beer,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
sugar,bottled beer,packaged fruit/vegetables,bottled water,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
chicken,pastry,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
citrus fruit,candy,bottled water,rolls/buns,,,,,,,
soda,bottled beer,,,,,,,,,
sliced cheese,beverages,other vegetables,napkins,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
whole milk,pork,whole milk,whole milk,,,,,,,
other vegetables,specialty bar,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
margarine,newspapers,,,,,,,,,
meat,meat,,,,,,,,,
pork,whole milk,whole milk,,,,,,,,
newspapers,canned beer,,,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
whole milk,house keeping products,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
frozen fish,whole milk,,,,,,,,,
whole milk,yogurt,frozen vegetables,,,,,,,,
meat spreads,chocolate,,,,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
tropical fruit,berries,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
ice cream,canned beer,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
ham,cream cheese ,,,,,,,,,
processed cheese,white bread,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
sausage,whole milk,,,,,,,,,
berries,pet care,,,,,,,,,
bottled beer,beef,frozen vegetables,shopping bags,,,,,,,
frankfurter,butter milk,,,,,,,,,
soda,snack products,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
chicken,chocolate,chewing gum,,,,,,,,
hamburger meat,pork,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
sausage,canned beer,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
bottled beer,whole milk,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
other vegetables,curd,,,,,,,,,
bottled water,canned beer,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
photo/film,onions,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
root vegetables,dog food,,,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
chicken,dessert,,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
tropical fruit,sausage,,,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
chicken,pip fruit,,,,,,,,,
coffee,other vegetables,,,,,,,,,
coffee,bottled water,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
oil,brown bread,bottled beer,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
meat,pork,,,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
sausage,pastry,,,,,,,,,
berries,packaged fruit/vegetables,tidbits,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
other vegetables,waffles,,,,,,,,,
ham,Instant food products,,,,,,,,,
sausage,dessert,,,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
frankfurter,processed cheese,,,,,,,,,
sausage,bottled beer,photo/film,margarine,whipped/sour cream,,,,,,
citrus fruit,coffee,,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
canned beer,bottled water,long life bakery product,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
meat,citrus fruit,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
domestic eggs,butter,,,,,,,,,
bottled water,chocolate,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
root vegetables,soda,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
beverages,candles,,,,,,,,,
ham,frozen meals,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
frankfurter,chocolate,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
sausage,bottled beer,,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
pudding powder,mustard,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
spread cheese,whole milk,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
soda,bottled water,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
butter,newspapers,,,,,,,,,
pip fruit,curd,,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
ham,rolls/buns,,,,,,,,,
canned beer,baking powder,,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
soda,yogurt,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
pork,whole milk,,,,,,,,,
zwieback,specialty chocolate,,,,,,,,,
ice cream,herbs,,,,,,,,,
frankfurter,light bulbs,rolls/buns,pasta,,,,,,,
specialty bar,dog food,cream cheese ,,,,,,,,
pip fruit,newspapers,chocolate,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
dessert,whole milk,,,,,,,,,
soda,butter,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
sausage,other vegetables,,,,,,,,,
canned beer,soda,,,,,,,,,
butter,berries,,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
whole milk,frozen fish,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
butter,bottled water,,,,,,,,,
chocolate,mustard,white bread,,,,,,,,
chicken,rolls/buns,,,,,,,,,
sausage,pot plants,,,,,,,,,
herbs,soda,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
soda,chocolate,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
beef,waffles,salty snack,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,chocolate,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
other vegetables,oil,,,,,,,,,
misc. beverages,newspapers,,,,,,,,,
oil,sparkling wine,,,,,,,,,
liquor,sweet spreads,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
canned beer,curd,pastry,,,,,,,,
butter,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
waffles,specialty chocolate,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,chicken,other vegetables,curd,hard cheese,,,,,,
sauces,yogurt,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
other vegetables,yogurt,,,,,,,,,
brown bread,herbs,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
chocolate,butter,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
processed cheese,hygiene articles,,,,,,,,,
canned beer,curd,,,,,,,,,
